sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode
stairs:52,강서구,계단,35.2194334,128.9346300,0.00,5.64,100035816018C03910100000000009524,7.7,busan-road-polygon:8618,,3.0,RDQ005,78.8,crosswalk:3248,대사초등학교,false,58.6,public_toilet:1648,서강주유소,화장실,false,STC-0049,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2194334,128.9346300","https://map.kakao.com/link/roadview/35.2194334,128.9346300",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:246,강서구,계단,35.1076116,128.9286432,0.00,5.84,100035816058C03910100000000040748,7.9,busan-road-polygon:585,,7.0,RDQ006,157.3,crosswalk:3257,명지중리입구,false,252.8,barrier_free_facility:9442,명지파출소,행정·공공기관,false,STC-0231,3,P3,25,LOW_PRIORITY,"도로 polygon 20m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1076116,128.9286432","https://map.kakao.com/link/roadview/35.1076116,128.9286432",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:54,강서구,계단,35.2200779,128.9367783,0.00,2.43,100035816018C03910100000000009526,7.9,busan-road-polygon:7972,,5.3,RDQ006,210.5,crosswalk:3248,대사초등학교,false,144.4,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0051,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2200779,128.9367783","https://map.kakao.com/link/roadview/35.2200779,128.9367783",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:184,강서구,계단,35.0112141,128.8269943,0.00,9.03,100035816094C03910100000000037054,8.1,busan-road-polygon:25240,,8.0,RDQ006,2770.7,crosswalk:2800,(천성~눌차간)서중2교차로,false,62.8,barrier_free_facility:9845,창원해양경찰서 출장소,행정·공공기관,false,STC-0172,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0112141,128.8269943","https://map.kakao.com/link/roadview/35.0112141,128.8269943",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:110,강서구,계단,35.2205820,128.9321129,0.00,4.52,100035816018C03910100000000009607,8.2,busan-road-polygon:7984,,9.6,RDQ006,138.6,crosswalk:3251,강동우체국,false,113.8,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,false,STC-0104,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2205820,128.9321129","https://map.kakao.com/link/roadview/35.2205820,128.9321129",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:224,강서구,계단,35.1461410,128.8436922,0.00,21.76,100035816044C03910100000000040714,8.4,busan-road-polygon:36252,,35.0,RDQ006,293.4,crosswalk:3020,지사과학산업단지 2지점,false,137.0,public_toilet:1509,지사스포츠파크,화장실,false,STC-0209,2,P3,25,LOW_PRIORITY,"도로 polygon 20m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1461410,128.8436922","https://map.kakao.com/link/roadview/35.1461410,128.8436922",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:81,강서구,계단,35.2160248,128.9399879,0.00,4.52,100035816018C03910100000000009554,8.5,busan-road-polygon:8271,,3.5,RDQ006,113.2,crosswalk:3247,대사약방,false,68.7,barrier_free_facility:9379,금빛재활주간보호,복지·돌봄,false,STC-0077,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2160248,128.9399879","https://map.kakao.com/link/roadview/35.2160248,128.9399879",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:284,강서구,계단,35.1251803,128.8966959,0.00,22.39,100035816046C03910100000000040791,8.6,busan-road-polygon:31761,,3.0,RDQ006,109.8,crosswalk:2741,,false,78.4,public_toilet:1638,(주)경인에너지,화장실,false,STC-0265,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1251803,128.8966959","https://map.kakao.com/link/roadview/35.1251803,128.8966959",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:55,강서구,계단,35.2192610,128.9361745,0.00,3.62,100035816018C03910100000000009527,8.8,busan-road-polygon:8583,,3.0,RDQ005,113.4,crosswalk:3248,대사초등학교,false,84.9,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0052,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2192610,128.9361745","https://map.kakao.com/link/roadview/35.2192610,128.9361745",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:72,강서구,계단,35.2151554,128.9423134,0.00,7.79,100035816018C03910100000000009545,8.9,busan-road-polygon:8253,,3.5,RDQ006,167.8,crosswalk:3246,용화사,false,194.4,public_toilet:1665,우리2주유소,화장실,false,STC-0069,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2151554,128.9423134","https://map.kakao.com/link/roadview/35.2151554,128.9423134",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
