sourceId,districtGu,districtDong,locationLabel,point,lat,lng,widthMeter,lengthMeter,areaSquareMeter,crossingState
crosswalk:170,해운대구,좌동,"영남아파트(6),(7)직결",POINT(129.1821260 35.1671122),35.1671122,129.1821260,6,12,97,TRAFFIC_SIGNALS
crosswalk:171,해운대구,재송동,반여삼익아파트,POINT(129.1205787 35.1918361),35.1918361,129.1205787,6,12,82,TRAFFIC_SIGNALS
crosswalk:172,해운대구,재송동,반여삼익아파트,POINT(129.1206500 35.1917174),35.1917174,129.1206500,4,7,30,TRAFFIC_SIGNALS
crosswalk:173,해운대구,재송동,,POINT(129.1201807 35.1807525),35.1807525,129.1201807,7,24,156,TRAFFIC_SIGNALS
crosswalk:174,해운대구,우동,수영역,POINT(129.1334225 35.1716845),35.1716845,129.1334225,8,18,108,TRAFFIC_SIGNALS
crosswalk:175,해운대구,우동,해운대고교,POINT(129.1625864 35.1700523),35.1700523,129.1625864,4,11,49,TRAFFIC_SIGNALS
crosswalk:176,해운대구,석대동,석대 철고물집하장,POINT(129.1446527 35.2213425),35.2213425,129.1446527,6,14,83,TRAFFIC_SIGNALS
crosswalk:177,해운대구,석대동,석대 철고물집하장,POINT(129.1444908 35.2213270),35.2213270,129.1444908,6,9,56,TRAFFIC_SIGNALS
crosswalk:178,해운대구,좌동,두산아파트(14),POINT(129.1793705 35.1677115),35.1677115,129.1793705,5,12,58,TRAFFIC_SIGNALS
crosswalk:179,해운대구,좌동,두산아파트(14),POINT(129.1794437 35.1678737),35.1678737,129.1794437,6,13,79,TRAFFIC_SIGNALS
crosswalk:180,해운대구,좌동,장산역주변,POINT(129.1766293 35.1685685),35.1685685,129.1766293,4,8,30,TRAFFIC_SIGNALS
crosswalk:181,해운대구,좌동,좌동사무소입구(23),POINT(129.1758617 35.1729803),35.1729803,129.1758617,7,12,90,TRAFFIC_SIGNALS
crosswalk:182,해운대구,좌동,좌동사무소입구(23),POINT(129.1761179 35.1726139),35.1726139,129.1761179,8,12,101,TRAFFIC_SIGNALS
crosswalk:183,해운대구,중동,장군관사입구(27),POINT(129.1669596 35.1677455),35.1677455,129.1669596,4,8,44,TRAFFIC_SIGNALS
crosswalk:184,해운대구,중동,,POINT(129.1681435 35.1687512),35.1687512,129.1681435,8,12,103,TRAFFIC_SIGNALS
crosswalk:185,해운대구,중동,한일아파트(29),POINT(129.1694449 35.1704178),35.1704178,129.1694449,6,12,75,TRAFFIC_SIGNALS
crosswalk:186,해운대구,좌동,한일아파트(29),POINT(129.1700893 35.1719785),35.1719785,129.1700893,6,12,69,TRAFFIC_SIGNALS
crosswalk:187,해운대구,좌동,대동아파트(41),POINT(129.1748191 35.1777938),35.1777938,129.1748191,5,8,45,TRAFFIC_SIGNALS
