sourceId,districtGu,name,point,lat,lng,widthMeter,areaSquareMeter,structureCode,structureName,scls,ufid
stairs:998,기장군,계단,POINT(129.2439425 35.2418077),35.2418077,129.2439425,0.00,3.47,SRD001,계단,C0393323,100035913010C03910100000000022690
stairs:999,기장군,계단,POINT(129.2452160 35.2380172),35.2380172,129.2452160,0.00,13.73,SRD001,계단,C0393323,100035913010C03910100000000022691
stairs:1000,기장군,계단,POINT(129.2256065 35.2057366),35.2057366,129.2256065,0.00,9.50,SRD001,계단,C0393323,100035913020C03910100000000022692
stairs:1001,기장군,계단,POINT(129.2271666 35.2055372),35.2055372,129.2271666,0.00,24.43,SRD001,계단,C0393323,100035913020C03910100000000022693
stairs:1002,기장군,계단,POINT(129.2311821 35.2231506),35.2231506,129.2311821,0.00,9.08,SRD001,계단,C0393323,100035913020C03910100000000022694
stairs:1003,기장군,계단,POINT(129.2271556 35.2224738),35.2224738,129.2271556,0.00,15.60,SRD001,계단,C0393323,100035913020C03910100000000022695
stairs:1004,기장군,계단,POINT(129.2296382 35.2009465),35.2009465,129.2296382,0.00,6.26,SRD001,계단,C0393323,100035913020C03910100000000022696
stairs:1005,기장군,계단,POINT(129.2272687 35.2211352),35.2211352,129.2272687,0.00,3.60,SRD001,계단,C0393323,100035913020C03910100000000022697
stairs:1006,기장군,계단,POINT(129.2271512 35.2210262),35.2210262,129.2271512,0.00,8.05,SRD001,계단,C0393323,100035913020C03910100000000022698
stairs:1007,기장군,계단,POINT(129.2274122 35.2203671),35.2203671,129.2274122,0.00,7.10,SRD001,계단,C0393323,100035913020C03910100000000022699
stairs:1008,기장군,계단,POINT(129.2307706 35.2220936),35.2220936,129.2307706,0.00,1.29,SRD001,계단,C0393323,100035913020C03910100000000022700
stairs:1009,기장군,삼정그린코아더베스트,POINT(129.2066249 35.2037690),35.2037690,129.2066249,0.00,10.39,SRD001,계단,C0393323,100035913019C03910100000000022701
stairs:1010,기장군,계단,POINT(129.2069221 35.2068629),35.2068629,129.2069221,0.00,11.41,SRD001,계단,C0393323,100035913019C03910100000000022702
stairs:1011,기장군,계단,POINT(129.2091251 35.2081602),35.2081602,129.2091251,0.00,13.99,SRD001,계단,C0393323,100035913019C03910100000000022703
stairs:1012,기장군,삼정그린코아더베스트,POINT(129.2071609 35.2021436),35.2021436,129.2071609,0.00,14.55,SRD001,계단,C0393323,100035913019C03910100000000022704
stairs:1013,기장군,계단,POINT(129.2458892 35.2400798),35.2400798,129.2458892,0.00,5.73,SRD001,계단,C0393323,100035913010C03910100000000022714
stairs:1014,기장군,계단,POINT(129.2476084 35.2430864),35.2430864,129.2476084,0.00,3.21,SRD001,계단,C0393323,100035913010C03910100000000022715
stairs:1015,기장군,기장군청,POINT(129.2212895 35.2449263),35.2449263,129.2212895,0.00,9.22,SRD001,계단,C0393323,100035913009C03910100000000022718
stairs:1016,기장군,기장군청,POINT(129.2213184 35.2449175),35.2449175,129.2213184,0.00,8.05,SRD001,계단,C0393323,100035913009C03910100000000022719
stairs:1017,기장군,기장군청,POINT(129.2213474 35.2448603),35.2448603,129.2213474,0.00,7.91,SRD001,계단,C0393323,100035913009C03910100000000022720
stairs:1018,기장군,기장군청,POINT(129.2213702 35.2449325),35.2449325,129.2213702,0.00,8.05,SRD001,계단,C0393323,100035913009C03910100000000022721
stairs:1019,기장군,기장군청,POINT(129.2226468 35.2444162),35.2444162,129.2226468,0.00,34.19,SRD001,계단,C0393323,100035913009C03910100000000022722
stairs:1020,기장군,웨이브리즈아파트,POINT(129.2211620 35.2319520),35.2319520,129.2211620,0.00,18.80,SRD001,계단,C0393323,100035913009C03910100000000022723
stairs:1021,기장군,웨이브리즈아파트,POINT(129.2203650 35.2326058),35.2326058,129.2203650,0.00,8.55,SRD001,계단,C0393323,100035913009C03910100000000022724
stairs:1022,기장군,웨이브리즈아파트,POINT(129.2202447 35.2327004),35.2327004,129.2202447,0.00,6.72,SRD001,계단,C0393323,100035913009C03910100000000022725
stairs:1023,기장군,한전기장지사,POINT(129.2194714 35.2344322),35.2344322,129.2194714,0.00,55.04,SRD001,계단,C0393323,100035913009C03910100000000022726
stairs:1024,기장군,기장고교,POINT(129.2089459 35.2399305),35.2399305,129.2089459,0.00,15.32,SRD001,계단,C0393323,100035913009C03910100000000022727
stairs:1025,기장군,봉대어린이공원,POINT(129.2086283 35.2418433),35.2418433,129.2086283,0.00,15.67,SRD001,계단,C0393323,100035913009C03910100000000022728
stairs:1026,기장군,봉대어린이공원,POINT(129.2086030 35.2418901),35.2418901,129.2086030,0.00,21.28,SRD001,계단,C0393323,100035913009C03910100000000022729
stairs:1027,기장군,계단,POINT(129.2457948 35.3588653),35.3588653,129.2457948,0.00,46.01,SRD001,계단,C0393323,100035909060C03910100000000023035
stairs:1028,기장군,계단,POINT(129.2021664 35.3639790),35.3639790,129.2021664,0.00,57.60,SRD001,계단,C0393323,100035909059C03910100000000023044
stairs:1029,기장군,계단,POINT(129.2408873 35.3710683),35.3710683,129.2408873,0.00,21.89,SRD001,계단,C0393323,100035909060C03910100000000023045
stairs:1030,기장군,계단,POINT(129.1948511 35.3525464),35.3525464,129.1948511,0.00,8.44,SRD001,계단,C0393323,100035909058C03910100000000023047
stairs:1031,기장군,계단,POINT(129.2236321 35.3745470),35.3745470,129.2236321,0.00,53.67,SRD001,계단,C0393323,100035909059C03910100000000023055
stairs:1032,기장군,계단,POINT(129.2472189 35.3061558),35.3061558,129.2472189,0.00,20.73,SRD001,계단,C0393323,100035909080C03910100000000023071
stairs:1033,기장군,계단,POINT(129.2444609 35.3084032),35.3084032,129.2444609,0.00,6.84,SRD001,계단,C0393323,100035909080C03910100000000023072
stairs:1034,기장군,계단,POINT(129.2446520 35.3218534),35.3218534,129.2446520,0.00,17.99,SRD001,계단,C0393323,100035909080C03910100000000023073
stairs:1035,기장군,계단,POINT(129.1997316 35.3293418),35.3293418,129.1997316,0.00,13.76,SRD001,계단,C0393323,100035909068C03910100000000023074
stairs:1036,기장군,계단,POINT(129.1990491 35.3291974),35.3291974,129.1990491,0.00,9.23,SRD001,계단,C0393323,100035909068C03910100000000023075
stairs:1037,기장군,계단,POINT(129.1998511 35.3103952),35.3103952,129.1998511,0.00,65.69,SRD001,계단,C0393323,100035909078C03910100000000023076
stairs:1038,기장군,계단,POINT(129.1998714 35.3104470),35.3104470,129.1998714,0.00,21.96,SRD001,계단,C0393323,100035909078C03910100000000023077
stairs:1039,기장군,계단,POINT(129.2081229 35.3029759),35.3029759,129.2081229,0.00,53.70,SRD001,계단,C0393323,100035909079C03910100000000023078
stairs:1040,기장군,계단,POINT(129.2220340 35.3115053),35.3115053,129.2220340,0.00,14.77,SRD001,계단,C0393323,100035909079C03910100000000023079
stairs:1041,기장군,계단,POINT(129.2184272 35.3218263),35.3218263,129.2184272,0.00,12.74,SRD001,계단,C0393323,100035909079C03910100000000023080
stairs:1042,기장군,(주)부일레미콘정관지점,POINT(129.2064437 35.3192995),35.3192995,129.2064437,0.00,19.15,SRD001,계단,C0393323,100035909079C03910100000000023081
stairs:1043,기장군,(주)부일레미콘정관지점,POINT(129.2065473 35.3193354),35.3193354,129.2065473,0.00,88.97,SRD001,계단,C0393323,100035909079C03910100000000023082
stairs:1044,기장군,계단,POINT(129.2005699 35.3112270),35.3112270,129.2005699,0.00,91.43,SRD001,계단,C0393323,100035909079C03910100000000023083
stairs:1045,기장군,계단,POINT(129.2005053 35.3111083),35.3111083,129.2005053,0.00,47.22,SRD001,계단,C0393323,100035909079C03910100000000023084
stairs:1046,기장군,계단,POINT(129.2407698 35.3102671),35.3102671,129.2407698,0.00,14.05,SRD001,계단,C0393323,100035909080C03910100000000023085
stairs:1047,기장군,장안제일고교,POINT(129.2408841 35.3147414),35.3147414,129.2408841,0.00,20.43,SRD001,계단,C0393323,100035909080C03910100000000023086
stairs:1048,기장군,장안중교,POINT(129.2412960 35.3150435),35.3150435,129.2412960,0.00,30.86,SRD001,계단,C0393323,100035909080C03910100000000023087
stairs:1049,기장군,부산장안고교,POINT(129.2367799 35.3187322),35.3187322,129.2367799,0.00,41.65,SRD001,계단,C0393323,100035909080C03910100000000023088
stairs:1050,기장군,부산장안고교,POINT(129.2364424 35.3184587),35.3184587,129.2364424,0.00,31.03,SRD001,계단,C0393323,100035909080C03910100000000023089
stairs:1051,기장군,부산장안고교,POINT(129.2370596 35.3189743),35.3189743,129.2370596,0.00,30.49,SRD001,계단,C0393323,100035909080C03910100000000023090
stairs:1052,기장군,시내산기도원,POINT(129.2326557 35.3318222),35.3318222,129.2326557,0.00,21.52,SRD001,계단,C0393323,100035909070C03910100000000023091
stairs:1053,기장군,계단,POINT(129.1850294 35.3341140),35.3341140,129.1850294,0.00,27.84,SRD001,계단,C0393323,100035909068C03910100000000023092
stairs:1054,기장군,계단,POINT(129.1975548 35.3282807),35.3282807,129.1975548,0.00,38.16,SRD001,계단,C0393323,100035909068C03910100000000023093
stairs:1055,기장군,계단,POINT(129.1827596 35.3267470),35.3267470,129.1827596,0.00,134.13,SRD001,계단,C0393323,100035909068C03910100000000023094
