"elevatorId","stationId","stationName","lineName","entranceNo","point"
"169","241","부산대양산캠퍼스","2","3","POINT(129.0131444961697 35.317137339303784)"
"170","241","부산대양산캠퍼스","2","3","POINT(129.0131444961697 35.317137339303784)"
"171","240","증산","2","1","POINT(129.01014414708692 35.3083019219015)"
"172","240","증산","2","1","POINT(129.01014414708692 35.3083019219015)"
"173","239","호포","2","1","POINT(129.017009705047 35.2810718857207)"
"174","239","호포","2","1","POINT(129.017009705047 35.2810718857207)"
"176","238","금곡","2","5","POINT(129.01738065854022 35.26811610086545)"
"177","238","금곡","2","6","POINT(129.01727562897116 35.266982396320984)"
"178","237","동원","2","2","POINT(129.01248657916122 35.258609323042904)"
"179","237","동원","2","2","POINT(129.01248657916122 35.258609323042904)"
"180","236","율리","2","3","POINT(129.01272909892 35.2466469118345)"
"181","236","율리","2","4","POINT(129.01304731338627 35.246632605513135)"
"184","235","화명","2","5","POINT(129.0137394542515 35.236419955402546)"
"185","235","화명","2","4","POINT(129.0140176269534 35.235676373512035)"
"188","234","수정","2","1","POINT(129.008897090908 35.2231181923003)"
"189","234","수정","2","4","POINT(129.00952049186546 35.22345929520451)"
"190","234","수정","2","5","POINT(129.00881939102362 35.2239755872434)"
"193","233","덕천","2","1","POINT(129.00524045186947 35.209742473579674)"
"194","233","덕천","2","5","POINT(129.00494642517845 35.210288044113625)"
"195","232","구명","2","1","POINT(128.99899855189759 35.20236603998201)"
"196","232","구명","2","4","POINT(129.00014117260488 35.203293390174544)"
"199","231","구남","2","3","POINT(128.99525765552423 35.19755243955925)"
"200","231","구남","2","2","POINT(128.995320370465 35.1969746575355)"
"203","230","모라","2","3","POINT(128.988857415827 35.1903582823519)"
"207","229","모덕","2","3","POINT(128.98563484199985 35.18108404695443)"
"210","228","덕포","2","3","POINT(128.98399708698886 35.17421691545054)"
"211","228","덕포","2","4","POINT(128.98419390881742 35.17418665508954)"
"214","227","사상","2","3","POINT(128.984204868129 35.1624441648716)"
"215","227","사상","2","4","POINT(128.98480972061037 35.162497335408084)"
"219","226","감전","2","1","POINT(128.991209769637 35.1553901425819)"
"220","226","감전","2","2","POINT(128.99137824928934 35.15554958405527)"
