placeId,name,category,address,point,providerPlaceId
104,서구노인복지관 화장실,ETC,"부산광역시 서구 장군산로46번길 21, 서구노인복지관 (암남동)",POINT(129.0142421 35.0733888),
105,상수도사업본부(서부사업소),ETC,부산광역시 서구 자갈치로 7 (충무동1가),POINT(129.0253030 35.0964380),
106,송도 해양레포츠센터 내,ETC,부산광역시 서구 송도해변로50,POINT(129.0178147 35.0763270),
107,구덕청소년 수련관,ETC,"부산광역시 서구 꽃마을로156번길 109, 구덕청소년수련관 (서대신동3가)",POINT(129.0107190 35.1253387),
108,서구청,ETC,"부산광역시 서구 구덕로 120, 서구청 (토성동4가)",POINT(129.0242041 35.0979244),
109,대신공원 관리사무실 뒤,ETC,부산광역시 서구 보수대로320번길 59 (서대신동3가),POINT(129.0162000 35.1216000),
110,서구종합사회복지관 화장실,ETC,부산광역시 서구 망양로193번길 104 (동대신동1가),POINT(129.0260092 35.1111451),
111,아미파출소,ETC,"부산광역시 서구 해돋이로 267, 아미치안센타 (아미동2가)",POINT(129.0161623 35.1003259),
112,수산물유통시설관리사업소 냉동,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
113,송도스포츠센터 화장실,ETC,부산광역시 서구 송도해변로 121 (암남동),POINT(129.0201114 35.0780773),
114,동대신동지하철역,ETC,부산광역시 서구 구덕로 지하290 (동대신동2가),POINT(129.0176840 35.1104520),
115,수산물유통시설관리사업소 가동,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
116,임시수도기념관 화장실,ETC,"부산광역시 서구 임시수도기념로 45, 임시수도기념관 (부민동3가)",POINT(129.0174350 35.1035310),
117,아미우체국,ETC,"부산광역시 서구 구덕로 193, 부산아미동우체국 (아미동1가)",POINT(129.0195700 35.1019490),
118,꽃마을,ETC,부산광역시 서구 꽃마을로 159(서대신동3가),POINT(129.0085980 35.1212188),
119,남항체육시설,ETC,부산광역시 서구 등대로 107,POINT(129.0255410 35.0815950),
120,동대신2동주민센터,ETC,"부산광역시 서구 보동길275번길 9, 동대신2동주민센터 (동대신동2가)",POINT(129.0232121 35.1131137),
121,부산국민체육센터,ETC,"부산광역시 서구 대신로 150, 부산국민체육센터 (서대신동3가)",POINT(129.0157718 35.1173256),
122,구덕지구대,ETC,"부산광역시 서구 보수대로 258-5, 동대치안센터 (동대신동3가)",POINT(129.0173709 35.1170886),
123,남부민1동 주민센터,ETC,"부산광역시 서구 충무대로255번길 5-26, 남부민1동주민센터 (남부민동)",POINT(129.0233003 35.0926739),
124,수산물유통시설관리사업소회관동,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
