place_key,source_dataset,source_place_id,place_name,ui_category,raw_category,source_category,category_source,category_match_method,is_adopted_category,district_gu,address,point_wkt,latitude,longitude,provider_place_id,public_facility_type,public_facility_id,public_facility_name,public_facility_address,accessibility_count,accessibility_type_codes,accessibility_type_labels
place:5535,erd_ready,5535,시티원 (본가),음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 신선로 468,POINT(129.1021217 35.1263205),35.1263205,129.1021217,,,,,,2,ramp|accessibleParking,경사로|장애인 주차장
place:5536,erd_ready,5536,키즈포레,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로47번길 98,POINT(129.0976580 35.1305675),35.1305675,129.0976580,,,,,,2,ramp|accessibleEntrance,경사로|접근 가능 출입구
place:5537,erd_ready,5537,한우랑,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔로 171,POINT(129.0948748 35.1303341),35.1303341,129.0948748,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5538,erd_ready,5538,경송빌딩,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로 29,POINT(129.0922844 35.1323487),35.1323487,129.0922844,,,,,,2,accessibleEntrance|stepFree,접근 가능 출입구|단차 없음
place:5539,erd_ready,5539,창성빌딩,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로 35-1,POINT(129.0923062 35.1317703),35.1317703,129.0923062,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5540,erd_ready,5540,성산골든타워,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로38번길 7,POINT(129.0916579 35.1314863),35.1314863,129.0916579,,,,,,3,accessibleEntrance|elevator|stepFree,접근 가능 출입구|엘리베이터|단차 없음
place:5541,erd_ready,5541,남구 보훈회관,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로114번길 19,POINT(129.0917459 35.1272190),35.1272190,129.0917459,,,,,,4,accessibleEntrance|elevator|accessibleToilet|stepFree,접근 가능 출입구|엘리베이터|장애인 화장실|단차 없음
place:5542,erd_ready,5542,(주)푸드엔,기타,ETC,ETC,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로 112,POINT(129.0908583 35.1271682),35.1271682,129.0908583,,,,,,5,accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5543,erd_ready,5543,원천당,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로 32,POINT(129.0918009 35.1322800),35.1322800,129.0918009,,,,,,4,ramp|accessibleEntrance|accessibleParking|stepFree,경사로|접근 가능 출입구|장애인 주차장|단차 없음
place:5544,erd_ready,5544,대연1동 주민센터,공공기관,PUBLIC_OFFICE,PUBLIC_OFFICE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 유엔평화로 24,POINT(129.0917614 35.1328936),35.1328936,129.0917614,,,,,,7,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree|guidanceFacility,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음|안내 설비
place:5545,erd_ready,5545,착한낙지,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로 139-1,POINT(129.0916318 35.1298083),35.1298083,129.0916318,,,,,,2,ramp|accessibleEntrance,경사로|접근 가능 출입구
place:5546,erd_ready,5546,아띠장애인센터,복지·돌봄,WELFARE,WELFARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로127번길 97,POINT(129.0900521 35.1274377),35.1274377,129.0900521,,,,,,3,accessibleEntrance|accessibleToilet|stepFree,접근 가능 출입구|장애인 화장실|단차 없음
place:5547,erd_ready,5547,일반음식점,음식·카페,FOOD_CAFE,FOOD_CAFE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로 81,POINT(129.0886489 35.1252321),35.1252321,129.0886489,,,,,,3,ramp|accessibleEntrance|stepFree,경사로|접근 가능 출입구|단차 없음
place:5548,erd_ready,5548,유엔메디컬,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로 76,POINT(129.0886360 35.1244648),35.1244648,129.0886360,,,,,,6,ramp|accessibleEntrance|elevator|accessibleToilet|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 화장실|장애인 주차장|단차 없음
place:5549,erd_ready,5549,대연 SM SQUARE,의료·보건,HEALTHCARE,HEALTHCARE,erd_v3_policy,erd_ready,true,남구,부산광역시 남구 석포로 74,POINT(129.0885298 35.1243330),35.1243330,129.0885298,,,,,,5,ramp|accessibleEntrance|elevator|accessibleParking|stepFree,경사로|접근 가능 출입구|엘리베이터|장애인 주차장|단차 없음
