id,placeId,featureType,isAvailable
740,1720,accessibleToilet,true
741,1722,accessibleToilet,true
742,1725,accessibleToilet,true
743,1727,accessibleToilet,true
744,1731,accessibleToilet,true
745,1734,accessibleToilet,true
746,1736,accessibleToilet,true
747,1737,accessibleToilet,true
748,1738,accessibleToilet,true
749,1742,accessibleToilet,true
750,1751,accessibleToilet,true
751,1752,accessibleToilet,true
752,1754,accessibleToilet,true
753,1757,accessibleToilet,true
754,1759,accessibleToilet,true
755,1767,accessibleToilet,true
756,1769,accessibleToilet,true
757,1770,accessibleToilet,true
758,1772,accessibleToilet,true
759,1773,accessibleToilet,true
760,1774,accessibleToilet,true
761,1775,accessibleToilet,true
762,1776,accessibleToilet,true
763,1777,accessibleToilet,true
764,1778,accessibleToilet,true
765,1779,accessibleToilet,true
766,1780,accessibleToilet,true
767,1781,accessibleToilet,true
768,1782,accessibleToilet,true
769,1783,accessibleToilet,true
770,1784,accessibleToilet,true
771,1785,accessibleToilet,true
772,1788,accessibleToilet,true
773,1790,accessibleToilet,true
774,1791,accessibleToilet,true
775,1792,accessibleToilet,true
776,1793,accessibleToilet,true
777,1794,accessibleToilet,true
778,1795,accessibleToilet,true
779,1797,accessibleToilet,true
780,1798,accessibleToilet,true
781,1800,accessibleToilet,true
782,1802,accessibleToilet,true
783,1803,accessibleToilet,true
784,1804,accessibleToilet,true
785,1806,accessibleToilet,true
786,1808,accessibleToilet,true
787,1809,accessibleToilet,true
788,1813,accessibleToilet,true
789,1814,accessibleToilet,true
790,1817,accessibleToilet,true
791,1819,accessibleToilet,true
792,1821,accessibleToilet,true
793,1823,accessibleToilet,true
794,1826,accessibleToilet,true
795,1827,accessibleToilet,true
796,1830,accessibleToilet,true
797,1832,accessibleToilet,true
798,1833,accessibleToilet,true
799,1834,accessibleToilet,true
800,1835,accessibleToilet,true
801,1837,accessibleToilet,true
802,1838,accessibleToilet,true
803,1840,accessibleToilet,true
804,1842,accessibleToilet,true
805,1843,accessibleToilet,true
806,1847,accessibleToilet,true
807,1849,accessibleToilet,true
808,1851,accessibleToilet,true
809,1852,accessibleToilet,true
810,1853,accessibleToilet,true
811,1854,accessibleToilet,true
812,1855,accessibleToilet,true
813,1859,accessibleToilet,true
814,1861,accessibleToilet,true
815,1863,accessibleToilet,true
816,1864,accessibleToilet,true
817,1865,accessibleToilet,true
818,1866,accessibleToilet,true
819,1867,accessibleToilet,true
820,1869,accessibleToilet,true
821,1872,accessibleToilet,true
822,1876,accessibleToilet,true
823,1877,accessibleToilet,true
824,1886,accessibleToilet,true
825,1890,accessibleToilet,true
826,1892,accessibleToilet,true
827,1894,accessibleToilet,true
828,1895,accessibleToilet,true
829,1896,accessibleToilet,true
830,1897,accessibleToilet,true
831,1898,accessibleToilet,true
832,1899,accessibleToilet,true
833,1900,accessibleToilet,true
834,1901,accessibleToilet,true
835,1902,accessibleToilet,true
836,1903,accessibleToilet,true
837,1904,accessibleToilet,true
838,1905,accessibleToilet,true
839,1906,accessibleToilet,true
840,1907,accessibleToilet,true
841,1909,accessibleToilet,true
842,1912,accessibleToilet,true
843,1913,accessibleToilet,true
844,1916,accessibleToilet,true
845,1918,accessibleToilet,true
846,1919,accessibleToilet,true
847,1920,accessibleToilet,true
848,1921,accessibleToilet,true
849,1922,accessibleToilet,true
850,1924,accessibleToilet,true
851,1925,accessibleToilet,true
852,1926,accessibleToilet,true
853,1927,accessibleToilet,true
854,1929,accessibleToilet,true
855,1930,accessibleToilet,true
856,1934,accessibleToilet,true
857,1936,accessibleToilet,true
858,1943,accessibleToilet,true
859,1944,accessibleToilet,true
860,1947,accessibleToilet,true
861,1948,accessibleToilet,true
862,1949,accessibleToilet,true
863,1951,accessibleToilet,true
864,1962,accessibleToilet,true
865,1963,accessibleToilet,true
866,1964,accessibleToilet,true
867,1965,accessibleToilet,true
868,1968,accessibleToilet,true
869,1973,accessibleToilet,true
870,1974,accessibleToilet,true
871,1976,accessibleToilet,true
872,1978,accessibleToilet,true
873,1979,accessibleToilet,true
874,1982,accessibleToilet,true
875,1983,accessibleToilet,true
876,1984,accessibleToilet,true
877,1985,accessibleToilet,true
878,1986,accessibleToilet,true
879,1990,accessibleToilet,true
880,1991,accessibleToilet,true
881,1992,accessibleToilet,true
882,1994,accessibleToilet,true
883,1995,accessibleToilet,true
884,1996,accessibleToilet,true
885,1999,accessibleToilet,true
886,2003,accessibleToilet,true
887,2004,accessibleToilet,true
888,2005,accessibleToilet,true
889,2008,accessibleToilet,true
890,2009,accessibleToilet,true
891,2208,elevator,true
892,2208,accessibleToilet,true
893,2209,elevator,true
894,2209,accessibleToilet,true
895,2210,elevator,true
896,2210,accessibleToilet,true
897,2211,elevator,true
898,2211,accessibleToilet,true
899,2212,elevator,true
900,2212,accessibleToilet,true
901,2213,elevator,true
902,2213,accessibleToilet,true
903,2214,elevator,true
904,2214,accessibleToilet,true
905,2215,elevator,true
906,2215,accessibleToilet,true
907,2216,elevator,true
908,2216,accessibleToilet,true
909,2217,elevator,true
910,2217,accessibleToilet,true
911,2218,elevator,true
912,2218,accessibleToilet,true
913,2219,elevator,true
914,2219,accessibleToilet,true
915,2220,elevator,true
916,2220,accessibleToilet,true
917,2221,elevator,true
918,2221,accessibleToilet,true
919,2222,elevator,true
920,2222,accessibleToilet,true
921,2223,elevator,true
922,2223,accessibleToilet,true
923,2224,elevator,true
924,2224,accessibleToilet,true
925,2225,elevator,true
926,2225,accessibleToilet,true
927,2226,elevator,true
928,2226,accessibleToilet,true
929,2227,elevator,true
930,2227,accessibleToilet,true
931,2228,elevator,true
932,2228,accessibleToilet,true
933,2229,elevator,true
934,2229,accessibleToilet,true
935,2230,elevator,true
936,2230,accessibleToilet,true
937,2231,elevator,true
938,2231,accessibleToilet,true
939,2232,elevator,true
940,2232,accessibleToilet,true
941,2233,elevator,true
942,2233,accessibleToilet,true
943,2234,elevator,true
944,2234,accessibleToilet,true
945,2235,elevator,true
946,2235,accessibleToilet,true
947,2236,elevator,true
948,2236,accessibleToilet,true
949,2237,elevator,true
950,2237,accessibleToilet,true
951,2238,elevator,true
952,2238,accessibleToilet,true
953,2239,elevator,true
954,2239,accessibleToilet,true
955,2240,elevator,true
956,2240,accessibleToilet,true
957,2241,elevator,true
958,2241,accessibleToilet,true
959,2242,elevator,true
960,2242,accessibleToilet,true
961,2243,elevator,true
962,2243,accessibleToilet,true
963,2244,elevator,true
964,2244,accessibleToilet,true
965,2245,elevator,true
966,2245,accessibleToilet,true
967,2246,elevator,true
968,2246,accessibleToilet,true
969,2247,elevator,true
