key,targetType,targetId,districtGu,name,category,status,statusLabel,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2898,facility,2898,강서구,신호공원,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=신호공원 공중화장실(171.8m); POI=신호관광호입구(30.1m),35.0817800,128.8727000,,,,,,,public_toilet:1497,2898,,public_toilet:1497,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,신호공원 공중화장실,171.8,MATCH_STRONG,신호관광호입구,30.1
facility:2920,facility,2920,강서구,신호민원센터,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=녹산동신호민원센터(18.5m),35.0856200,128.8791000,,,,,,,public_toilet:1532,2920,,public_toilet:1532,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,녹산동신호민원센터,18.5
facility:2906,facility,2906,강서구,신호솔밭공원,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=애니원웍스(45.7m),35.0806500,128.8755000,,,,,,,public_toilet:1514,2906,,public_toilet:1514,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,애니원웍스,45.7
facility:2987,facility,2987,강서구,신호작은도서관,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=신호장난감도서관(57.5m); POI=신호작은도서관(아이들꿈자람터)(59.4m),35.0885100,128.8719000,,,,,,,public_toilet:1629,2987,,public_toilet:1629,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_STRONG,신호장난감도서관,57.5,MATCH_STRONG,신호작은도서관(아이들꿈자람터),59.4
facility:2952,facility,2952,강서구,신호파출소,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=신호파출소(5.2m); POI=신호파출소(3.3m),35.0899300,128.8564000,,,,,,,public_toilet:1573,2952,,public_toilet:1573,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,신호파출소,5.2,MATCH_STRONG,신호파출소,3.3
facility:2958,facility,2958,강서구,연결녹지4호1,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=공중화장실(128.5m),35.0896500,128.9083000,,,,,,,public_toilet:1586,2958,,public_toilet:1586,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,128.5
facility:2960,facility,2960,강서구,연결녹지4호2,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=지아샵(26.9m),35.0938200,128.9203000,,,,,,,public_toilet:1588,2960,,public_toilet:1588,2026-04-27T08:19:05.747867+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,지아샵,26.9
facility:2892,facility,2892,강서구,외눌마을(눌차마을)입구,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=공중화장실(3.0m),35.0677100,128.8368000,,,,,,,public_toilet:1491,2892,,public_toilet:1491,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,공중화장실,3.0
facility:2914,facility,2914,강서구,외양포공영주차장,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=외양포전망대 공영주차장(129.1m); POI=공중화장실(6.4m),35.0059400,128.8268000,,,,,,,public_toilet:1524,2914,,public_toilet:1524,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_WEAK,외양포전망대 공영주차장,129.1,MATCH_STRONG,공중화장실,6.4
facility:2910,facility,2910,강서구,외양포해변,TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=공중화장실(4.1m); POI=외양포(버스정류장)(42.9m),35.0051700,128.8244000,,,,,,,public_toilet:1519,2910,,public_toilet:1519,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_STRONG,공중화장실,4.1,MATCH_STRONG,외양포(버스정류장),42.9
